task,prompt,gt,pred,raw_response,correct,accuracy
Count,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",C,B,"(B) 2
(B)",False,0.0
Count,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(E),"(E) 6
(E)","(E) 6
(E)",False,0.0
Count,"How many table lamps are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",C,B,"(B) 2
(B)",False,0.0
Count,"How many curtains are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1",D,D,"(D) 1
(D)",True,25.0
Count,"How many pictures are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1",D,B,"(B) 2
(B)",False,20.0
Count,"How many beds are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 0
(D) 3",B,D,"(D) 3
(D)",False,16.666666666666664
Count,"How many walls are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2",A,D,"(D) 2
(D)",False,14.285714285714285
Count,"How many televisions are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0",B,C,"(C) 2
(C)",False,12.5
Count,"How many chests are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0",B,C,"(C) 2
(C)",False,11.11111111111111
Count,"How many walls are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 3
(D) 4
(E) 2",(E),D,"(D) 4
(D)",False,10.0
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,D,"(D) 1
(D)",True,18.181818181818183
Count,"How many hats are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1",D,C,"(C) 2
(C)",False,16.666666666666664
Count,"How many curtains are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 4
(E) 0",B,B,"(B) 2
(B)",True,23.076923076923077
Count,"How many pendant lamps are in the image? Select from the following choices.
(A) 5
(B) 3
(C) 2
(D) 0
(E) 4
(F) 1",B,D,"(D) 0
(D)",False,21.428571428571427
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 4
(D) 3
(E) 2",(E),D,"(D) 3
(D)",False,20.0
Count,"How many candle holders are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0
(E) 4",B,"(F) 4
(F)","(F) 4
(F)",False,18.75
Count,"How many glasss are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2",D,D,"(D) 2
(D)",True,23.52941176470588
Count,"How many pictures are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0",A,C,"(C) 2
(C)",False,22.22222222222222
Count,"How many armchairs are in the image? Select from the following choices.
(A) 1
(B) 4
(C) 0
(D) 3
(E) 2",(E),"(E) 2
(E)","(E) 2
(E)",False,21.052631578947366
Count,"How many light switchs are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3",A,D,"(D) 3
(D)",False,20.0
Count,"How many bucketss are in the image? Select from the following choices.
(A) 2
(B) 4
(C) 1
(D) 0
(E) 3",A,"(F) 1
(H)","(F) 1
(H)",False,19.047619047619047
Count,"How many blinds are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 2
(D) 3",B,C,"(C) 2
(C)",False,18.181818181818183
Count,"How many walls are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 4
(D) 3
(E) 0",A,A,"(A) 2
(B)",True,21.73913043478261
Count,"How many curtains are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0
(E) 4",C,D,"(D) 0
(D)",False,20.833333333333336
Count,"How many pillows are in the image? Select from the following choices.
(A) 4
(B) 2
(C) 3
(D) 1
(E) 0",B,B,"(B) 2
(B)",True,24.0
Count,"How many folders are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,B,"(B) 2
(B)",False,23.076923076923077
Count,"How many walls are in the image? Select from the following choices.
(A) 3
(B) 5
(C) 1
(D) 0
(E) 2
(F) 4",A,"(F) 4
(F)","(F) 4
(F)",False,22.22222222222222
Count,"How many light switchs are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2",B,D,"(D) 2
(D)",False,21.428571428571427
Count,"How many blinds are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,D,"(D) 1
(D)",True,24.137931034482758
Count,"How many ranges are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",C,D,"(D) 3
(D)",False,23.333333333333332
Count,"How many dishwashers are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3",A,C,"(C) 0
(C)",False,22.58064516129032
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 2
(D) 3",B,D,"(D) 1
(D)",False,21.875
Count,"How many flowerpots are in the image? Select from the following choices.
(A) 4
(B) 1
(C) 0
(D) 3
(E) 2",(E),"(E) 2
(E)","(E) 2
(E)",False,21.21212121212121
Count,"How many pictures are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3",A,D,"(D) 3
(D)",False,20.588235294117645
Count,"How many baskets are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1
(E) 4",A,D,"(D) 1
(D)",False,20.0
Count,"How many fireplaces are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 1
(D) 0",C,D,"(D) 0
(D)",False,19.444444444444446
Count,"How many fireplaces are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3",A,C,"(C) 0
(C)",False,18.91891891891892
Count,"How many armchairs are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 4
(E) 0",B,B,"(B) 2
(B)",True,21.052631578947366
Count,"How many rugs are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2",B,D,"(D) 2
(D)",False,20.51282051282051
Count,"How many cushions are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1
(E) 4",A,D,"(D) 1
(D)",False,20.0
Count,"How many bookss are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 4
(D) 5
(E) 3
(F) 0",A,D,"(D) 5
(D)",False,19.51219512195122
Count,"How many tureens are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 0
(D) 1",D,A,"(A) 2
(A)",False,19.047619047619047
Count,"How many stools are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 1
(D) 0",C,C,"(C) 1
(C)",True,20.930232558139537
Count,"How many pitchers are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2",B,D,"(D) 2
(D)",False,20.454545454545457
Count,"How many blankets are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0",A,B,"(B) 2
(B)",False,20.0
Count,"How many baskets are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0",A,B,"(B) 2
(B)",False,19.565217391304348
Count,"How many vases are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0",A,C,"(C) 2
(C)",False,19.148936170212767
Count,"How many coffee tables are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3",A,C,"(C) 2
(C)",False,18.75
Count,"How many bottles are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2",B,D,"(D) 2
(D)",False,18.367346938775512
Count,"How many walls are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 4
(D) 1
(E) 0
(F) 5",B,"(H) 1
(J)","(H) 1
(J)",False,18.0
Count,"How many walls are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 3
(D) 4
(E) 0",A,"(E) 0
(E)","(E) 0
(E)",False,17.647058823529413
Count,"How many dividers are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",C,B,"(B) 2
(B)",False,17.307692307692307
Count,"How many curtains are in the image? Select from the following choices.
(A) 2
(B) 6
(C) 5
(D) 3
(E) 0
(F) 4",(F),B,"(B) 6
(B)",False,16.9811320754717
Count,"How many irons are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 1
(D) 3",C,B,"(B) 0
(B)",False,16.666666666666664
Count,"How many doors are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1",D,C,"(C) 2
(C)",False,16.363636363636363
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",B,B,"(B) 2
(B)",True,17.857142857142858
Count,"How many pillows are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 1
(D) 3",A,B,"(B) 0
(B)",False,17.543859649122805
Count,"How many persons are in the image? Select from the following choices.
(A) 0
(B) 3
(C) 2
(D) 1",D,C,"(C) 2
(C)",False,17.24137931034483
Count,"How many signs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",C,B,"(B) 2
(B)",False,16.94915254237288
Count,"How many persons are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2",B,D,"(D) 1
(D)",False,16.666666666666664
Count,"How many persons are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0",A,C,"(C) 2
(C)",False,16.39344262295082
Count,"How many doors are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3",A,B,"(B) 0
(B)",False,16.129032258064516
Count,"How many flags are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3",A,C,"(C) 2
(C)",False,15.873015873015872
Count,"How many skys are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1",D,D,"(D) 1
(D)",True,17.1875
Count,"How many benchs are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 4
(E) 2",(E),"(E) 2
(E)","(E) 2
(E)",False,16.923076923076923
Count,"How many skys are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2",B,D,"(D) 2
(D)",False,16.666666666666664
Count,"How many footbridges are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1",D,D,"(D) 1
(D)",True,17.91044776119403
Count,"How many poles are in the image? Select from the following choices.
(A) 5
(B) 1
(C) 0
(D) 3
(E) 4
(F) 2",D,"(F) 2
(F)","(F) 2
(F)",False,17.647058823529413
Count,"How many projection screens are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2",B,D,"(D) 2
(D)",False,17.391304347826086
Count,"How many backpacks are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1",D,B,"(B) 2
(B)",False,17.142857142857142
Count,"How many persons are in the image? Select from the following choices.
(A) 2
(B) 6
(C) 0
(D) 3
(E) 4
(F) 5",(E),"(G) 1
(H)","(G) 1
(H)",False,16.901408450704224
Count,"How many stones are in the image? Select from the following choices.
(A) 2
(B) 4
(C) 3
(D) 5
(E) 6
(F) 0",B,"(H) 0
(J)","(H) 0
(J)",False,16.666666666666664
Count,"How many persons are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 0
(D) 6
(E) 3
(F) 2",A,"(H) 1
(J)","(H) 1
(J)",False,16.43835616438356
Count,"How many fields are in the image? Select from the following choices.
(A) 4
(B) 1
(C) 0
(D) 3
(E) 5
(F) 2",D,"(F) 2
(F)","(F) 2
(F)",False,16.216216216216218
Count,"How many persons are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2",B,D,"(D) 1
(D)",False,16.0
Count,"How many lakes are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1",D,B,"(B) 2
(B)",False,15.789473684210526
Count,"How many persons are in the image? Select from the following choices.
(A) 4
(B) 0
(C) 3
(D) 2
(E) 5
(F) 1",C,"(H) 1
(J)","(H) 1
(J)",False,15.584415584415584
Count,"How many paths are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 1
(D) 3",C,B,"(B) 0
(B)",False,15.384615384615385
Count,"How many animals are in the image? Select from the following choices.
(A) 6
(B) 0
(C) 3
(D) 5
(E) 2
(F) 4",D,"(H) 4
(G)","(H) 4
(G)",False,15.18987341772152
Count,"How many persons are in the image? Select from the following choices.
(A) 6
(B) 4
(C) 3
(D) 0
(E) 2
(F) 5",B,"(H) 4
(G)","(H) 4
(G)",False,15.0
Count,"How many fields are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1",D,D,"(D) 1
(D)",True,16.049382716049383
Count,"How many steps are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0",B,D,"(D) 0
(D)",False,15.853658536585366
