task,prompt,gt,pred,raw_response,correct,accuracy
Count,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",C,C,C,True,100.0
Count,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(E),"(E) 6
(F)","(E) 6
(F)",False,50.0
Count,"How many table lamps are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",C,A,"(A) 0
(A)",False,33.33333333333333
Count,"How many curtains are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1",D,D,"(D) 1
(D)",True,50.0
Count,"How many pictures are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1",D,C,"(C) 0
(C)",False,40.0
Count,"How many beds are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 0
(D) 3",B,C,"(C) 0
(C)",False,33.33333333333333
Count,"How many walls are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2",A,D,"(D) 3
(D)",False,28.57142857142857
Count,"How many televisions are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0",B,D,(D) 0,False,25.0
Count,"How many chests are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0",B,C,"(C) 2
(C)",False,22.22222222222222
Count,"How many walls are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 3
(D) 4
(E) 2",(E),"(E) 2
(E)","(E) 2
(E)",False,20.0
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,D,"(D) 1
(D)",True,27.27272727272727
Count,"How many hats are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1",D,D,"(D) 1
(D)",True,33.33333333333333
Count,"How many curtains are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 4
(E) 0",B,D,"(D) 4
(D)",False,30.76923076923077
Count,"How many pendant lamps are in the image? Select from the following choices.
(A) 5
(B) 3
(C) 2
(D) 0
(E) 4
(F) 1",B,D,"(D) 0
(D)",False,28.57142857142857
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 4
(D) 3
(E) 2",(E),D,"(D) 3
(D)",False,26.666666666666668
Count,"How many candle holders are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0
(E) 4",B,D,"(D) 0
(D)",False,25.0
Count,"How many glasss are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2",D,D,"(D) 2
(D)",True,29.411764705882355
Count,"How many pictures are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0",A,D,"(D) 0
(D)",False,27.77777777777778
Count,"How many armchairs are in the image? Select from the following choices.
(A) 1
(B) 4
(C) 0
(D) 3
(E) 2",(E),"(E) 2
(E)","(E) 2
(E)",False,26.31578947368421
Count,"How many light switchs are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3",A,D,"(D) 3
(D)",False,25.0
