task,prompt,gt,pred,raw_response,correct,accuracy
Count,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",C,A,(A),False,0.0
Count,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(E),D,"(D)
(D)
(D",False,0.0
Count,"How many table lamps are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",C,A,(A),False,0.0
Count,"How many curtains are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1",D,A,"(A) 3
(A) ",False,0.0
Count,"How many pictures are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1",D,A,"(A) 3
(A)",False,0.0
Count,"How many beds are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 0
(D) 3",B,A,(A),False,0.0
Count,"How many walls are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2",A,D,(D),False,0.0
Count,"How many televisions are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0",B,C,"(C) 0
(C) ",False,0.0
Count,"How many chests are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0",B,D,(D) 3,False,0.0
Count,"How many walls are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 3
(D) 4
(E) 2",(E),A,(A) (A) (D) (,False,0.0
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,A,(A),False,0.0
Count,"How many hats are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1",D,A,(A) (B) (A) (,False,0.0
Count,"How many curtains are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 4
(E) 0",B,B,(B),True,7.6923076923076925
Count,"How many pendant lamps are in the image? Select from the following choices.
(A) 5
(B) 3
(C) 2
(D) 0
(E) 4
(F) 1",B,A,(A) 2 (A) 3,False,7.142857142857142
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 4
(D) 3
(E) 2",(E),A,"(A) 3
(A) ",False,6.666666666666667
Count,"How many candle holders are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0
(E) 4",B,D,(D) 6,False,6.25
Count,"How many glasss are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2",D,D,(D) 3,True,11.76470588235294
Count,"How many pictures are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0",A,B,(B) 3,False,11.11111111111111
Count,"How many armchairs are in the image? Select from the following choices.
(A) 1
(B) 4
(C) 0
(D) 3
(E) 2",(E),D,"(D) 3
(D) ",False,10.526315789473683
Count,"How many light switchs are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3",A,D,(D),False,10.0
Count,"How many bucketss are in the image? Select from the following choices.
(A) 2
(B) 4
(C) 1
(D) 0
(E) 3",A,A,(A),True,14.285714285714285
Count,"How many blinds are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 2
(D) 3",B,A,(A),False,13.636363636363635
Count,"How many walls are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 4
(D) 3
(E) 0",A,D,(D).,False,13.043478260869565
Count,"How many curtains are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0
(E) 4",C,B,(B),False,12.5
Count,"How many pillows are in the image? Select from the following choices.
(A) 4
(B) 2
(C) 3
(D) 1
(E) 0",B,A,"(A) 3
(A) ",False,12.0
Count,"How many folders are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,D,(D),True,15.384615384615385
Count,"How many walls are in the image? Select from the following choices.
(A) 3
(B) 5
(C) 1
(D) 0
(E) 2
(F) 4",A,"(E) 5
(E)","(e) 5
(e) ",False,14.814814814814813
Count,"How many light switchs are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2",B,C,"(C) 3
(C) ",False,14.285714285714285
Count,"How many blinds are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,D,"(D) 3
(D) ",True,17.24137931034483
Count,"How many ranges are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",C,A,and 5.,False,16.666666666666664
Count,"How many dishwashers are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3",A,A,"(A) 2
(D)
",True,19.35483870967742
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 2
(D) 3",B,A,(A) (B) (A) (,False,18.75
