task,prompt,gt,pred,raw_response,correct,accuracy
Count,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",C,C,C,True,100.0
Count,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(E),E,E,False,50.0
Count,"How many table lamps are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",C,C,C,True,66.66666666666666
Count,"How many curtains are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1",D,A,A,False,50.0
Count,"How many pictures are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1",D,D,D,True,60.0
Count,"How many beds are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 0
(D) 3",B,B,B,True,66.66666666666666
Count,"How many walls are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2",A,A,A,True,71.42857142857143
Count,"How many televisions are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0",B,B,B,True,75.0
Count,"How many chests are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0",B,B,B,True,77.77777777777779
Count,"How many walls are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 3
(D) 4
(E) 2",(E),A,A,False,70.0
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,D,D,True,72.72727272727273
Count,"How many hats are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1",D,D,D,True,75.0
Count,"How many curtains are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 4
(E) 0",B,B,B,True,76.92307692307693
Count,"How many pendant lamps are in the image? Select from the following choices.
(A) 5
(B) 3
(C) 2
(D) 0
(E) 4
(F) 1",B,F,F,False,71.42857142857143
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 4
(D) 3
(E) 2",(E),E,E,False,66.66666666666666
Count,"How many candle holders are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0
(E) 4",B,A,A,False,62.5
Count,"How many glasss are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2",D,A,A,False,58.82352941176471
Count,"How many pictures are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0",A,A,A,True,61.111111111111114
Count,"How many armchairs are in the image? Select from the following choices.
(A) 1
(B) 4
(C) 0
(D) 3
(E) 2",(E),E,E,False,57.89473684210527
Count,"How many light switchs are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3",A,A,A,True,60.0
Count,"How many bucketss are in the image? Select from the following choices.
(A) 2
(B) 4
(C) 1
(D) 0
(E) 3",A,C,C,False,57.14285714285714
Count,"How many blinds are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 2
(D) 3",B,A,A,False,54.54545454545454
Count,"How many walls are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 4
(D) 3
(E) 0",A,A,A,True,56.52173913043478
Count,"How many curtains are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0
(E) 4",C,C,C,True,58.333333333333336
Count,"How many pillows are in the image? Select from the following choices.
(A) 4
(B) 2
(C) 3
(D) 1
(E) 0",B,B,B,True,60.0
Count,"How many folders are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,B,B,False,57.692307692307686
Count,"How many walls are in the image? Select from the following choices.
(A) 3
(B) 5
(C) 1
(D) 0
(E) 2
(F) 4",A,D,D,False,55.55555555555556
Count,"How many light switchs are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2",B,B,B,True,57.14285714285714
Count,"How many blinds are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,D,D,True,58.620689655172406
Count,"How many ranges are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",C,C,C,True,60.0
Count,"How many dishwashers are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3",A,C,C,False,58.06451612903226
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 2
(D) 3",B,B,B,True,59.375
Count,"How many flowerpots are in the image? Select from the following choices.
(A) 4
(B) 1
(C) 0
(D) 3
(E) 2",(E),B,B,False,57.57575757575758
Count,"How many pictures are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3",A,A,A,True,58.82352941176471
Count,"How many baskets are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1
(E) 4",A,E,E,False,57.14285714285714
Count,"How many fireplaces are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 1
(D) 0",C,C,C,True,58.333333333333336
Count,"How many fireplaces are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3",A,A,A,True,59.45945945945946
Count,"How many armchairs are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 4
(E) 0",B,A,A,False,57.89473684210527
Count,"How many rugs are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2",B,D,D,False,56.41025641025641
Count,"How many cushions are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1
(E) 4",A,E,E,False,55.00000000000001
Count,"How many bookss are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 4
(D) 5
(E) 3
(F) 0",A,D,D,False,53.65853658536586
Count,"How many tureens are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 0
(D) 1",D,D,D,True,54.761904761904766
Count,"How many stools are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 1
(D) 0",C,B,B,False,53.48837209302325
Count,"How many pitchers are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2",B,B,B,True,54.54545454545454
Count,"How many blankets are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0",A,A,A,True,55.55555555555556
Count,"How many baskets are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0",A,A,A,True,56.52173913043478
Count,"How many vases are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0",A,A,A,True,57.446808510638306
Count,"How many coffee tables are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3",A,A,A,True,58.333333333333336
Count,"How many bottles are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2",B,B,B,True,59.183673469387756
Count,"How many walls are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 4
(D) 1
(E) 0
(F) 5",B,D,D,False,57.99999999999999
Count,"How many walls are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 3
(D) 4
(E) 0",A,B,B,False,56.86274509803921
Count,"How many dividers are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",C,B,B,False,55.769230769230774
Count,"How many curtains are in the image? Select from the following choices.
(A) 2
(B) 6
(C) 5
(D) 3
(E) 0
(F) 4",(F),C,C,False,54.71698113207547
Count,"How many irons are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 1
(D) 3",C,C,C,True,55.55555555555556
Count,"How many doors are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1",D,D,D,True,56.36363636363636
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",B,B,B,True,57.14285714285714
Count,"How many pillows are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 1
(D) 3",A,C,C,False,56.14035087719298
Count,"How many persons are in the image? Select from the following choices.
(A) 0
(B) 3
(C) 2
(D) 1",D,D,D,True,56.896551724137936
Count,"How many signs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",C,D,D,False,55.932203389830505
