task,prompt,gt,pred,raw_response,correct,accuracy
Count,"How many organs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",C,,,False,0.0
Count,"How many cushions are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 8
(D) 0
(E) 6
(F) 7",(E),,,False,0.0
Count,"How many table lamps are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",C,,,False,0.0
Count,"How many curtains are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1",D,TO SHOW,to show,False,0.0
Count,"How many pictures are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1",D,IN THE,In the,False,0.0
Count,"How many beds are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 0
(D) 3",B,IN 2,in 2,False,0.0
Count,"How many walls are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2",A,,,False,0.0
Count,"How many televisions are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0",B,IN THE,In the,False,0.0
Count,"How many chests are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0",B,,,False,0.0
Count,"How many walls are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 3
(D) 4
(E) 2",(E),,,False,0.0
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,A,"In the 2 in 40, and",False,0.0
Count,"How many hats are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1",D,(S,(s,False,0.0
Count,"How many curtains are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 4
(E) 0",B,"FROM 150, 153","From 150, 153",False,0.0
Count,"How many pendant lamps are in the image? Select from the following choices.
(A) 5
(B) 3
(C) 2
(D) 0
(E) 4
(F) 1",B,,,False,0.0
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 4
(D) 3
(E) 2",(E),IN,In,False,0.0
Count,"How many candle holders are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0
(E) 4",B,D,to hold some pictures.,False,0.0
Count,"How many glasss are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2",D,,,False,0.0
Count,"How many pictures are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0",A,IN 2.,in 2.,False,0.0
Count,"How many armchairs are in the image? Select from the following choices.
(A) 1
(B) 4
(C) 0
(D) 3
(E) 2",(E),,,False,0.0
Count,"How many light switchs are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3",A,,,False,0.0
Count,"How many bucketss are in the image? Select from the following choices.
(A) 2
(B) 4
(C) 1
(D) 0
(E) 3",A,,,False,0.0
Count,"How many blinds are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 2
(D) 3",B,IN,in,False,0.0
Count,"How many walls are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 4
(D) 3
(E) 0",A,A,At 400,True,4.3478260869565215
Count,"How many curtains are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0
(E) 4",C,,,False,4.166666666666666
Count,"How many pillows are in the image? Select from the following choices.
(A) 4
(B) 2
(C) 3
(D) 1
(E) 0",B,IN,in,False,4.0
Count,"How many folders are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,,,False,3.8461538461538463
Count,"How many walls are in the image? Select from the following choices.
(A) 3
(B) 5
(C) 1
(D) 0
(E) 2
(F) 4",A,,,False,3.7037037037037033
Count,"How many light switchs are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2",B,A,(and 1,False,3.571428571428571
Count,"How many blinds are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,IN THE,in the,False,3.4482758620689653
Count,"How many ranges are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3",C,A,"in your face is 2, where some ",False,3.3333333333333335
Count,"How many dishwashers are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3",A,,,False,3.225806451612903
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 2
(D) 3",B,,,False,3.125
Count,"How many flowerpots are in the image? Select from the following choices.
(A) 4
(B) 1
(C) 0
(D) 3
(E) 2",(E),SOME,some,False,3.0303030303030303
Count,"How many pictures are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3",A,,,False,2.941176470588235
Count,"How many baskets are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1
(E) 4",A,A,is that is 4x in the 2,True,5.714285714285714
Count,"How many fireplaces are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 1
(D) 0",C,,,False,5.555555555555555
Count,"How many fireplaces are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3",A,,,False,5.405405405405405
Count,"How many armchairs are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 4
(E) 0",B,3,3,False,5.263157894736842
Count,"How many rugs are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2",B,,,False,5.128205128205128
Count,"How many cushions are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1
(E) 4",A,,,False,5.0
Count,"How many bookss are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 4
(D) 5
(E) 3
(F) 0",A,,,False,4.878048780487805
Count,"How many tureens are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 0
(D) 1",D,,,False,4.761904761904762
Count,"How many stools are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 1
(D) 0",C,3,3,False,4.651162790697675
Count,"How many pitchers are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2",B,A,and 3 (with a person is the number,False,4.545454545454546
Count,"How many blankets are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0",A,,,False,4.444444444444445
Count,"How many baskets are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0",A,,,False,4.3478260869565215
Count,"How many vases are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0",A,,,False,4.25531914893617
Count,"How many coffee tables are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3",A,A,and a person is only see in the air is,True,6.25
Count,"How many bottles are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2",B,,,False,6.122448979591836
Count,"How many walls are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 4
(D) 1
(E) 0
(F) 5",B,,,False,6.0
Count,"How many walls are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 3
(D) 4
(E) 0",A,,,False,5.88235294117647
Count,"How many dividers are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",C,IN 2,in 2,False,5.769230769230769
Count,"How many curtains are in the image? Select from the following choices.
(A) 2
(B) 6
(C) 5
(D) 3
(E) 0
(F) 4",(F),,,False,5.660377358490567
Count,"How many irons are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 1
(D) 3",C,",",",",False,5.555555555555555
Count,"How many doors are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1",D,1,1,False,5.454545454545454
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",B,A,and 40.,False,5.357142857142857
Count,"How many pillows are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 1
(D) 3",A,,,False,5.263157894736842
Count,"How many persons are in the image? Select from the following choices.
(A) 0
(B) 3
(C) 2
(D) 1",D,,,False,5.172413793103448
Count,"How many signs are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0",C,,,False,5.084745762711865
Count,"How many persons are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 2",B,A,"with the letter ""s"" in the image.",False,5.0
Count,"How many persons are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0",A,,,False,4.918032786885246
Count,"How many doors are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3",A,,,False,4.838709677419355
Count,"How many flags are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3",A,,,False,4.761904761904762
Count,"How many skys are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1",D,,,False,4.6875
Count,"How many benchs are in the image? Select from the following choices.
(A) 0
(B) 1
(C) 3
(D) 4
(E) 2",(E),3,3,False,4.615384615384616
Count,"How many skys are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2",B,WITHOUT 3.,Without 3.,False,4.545454545454546
Count,"How many footbridges are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1",D,3,3,False,4.477611940298507
Count,"How many poles are in the image? Select from the following choices.
(A) 5
(B) 1
(C) 0
(D) 3
(E) 4
(F) 2",D,FOR 5,for 5,False,4.411764705882353
Count,"How many projection screens are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2",B,,,False,4.3478260869565215
Count,"How many backpacks are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1",D,,,False,4.285714285714286
Count,"How many persons are in the image? Select from the following choices.
(A) 2
(B) 6
(C) 0
(D) 3
(E) 4
(F) 5",(E),A,(A),False,4.225352112676056
Count,"How many stones are in the image? Select from the following choices.
(A) 2
(B) 4
(C) 3
(D) 5
(E) 6
(F) 0",B,A,several,False,4.166666666666666
Count,"How many persons are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 0
(D) 6
(E) 3
(F) 2",A,C,(C),False,4.10958904109589
Count,"How many fields are in the image? Select from the following choices.
(A) 4
(B) 1
(C) 0
(D) 3
(E) 5
(F) 2",D,D,to draw.,True,5.405405405405405
Count,"How many persons are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2",B,IN,in,False,5.333333333333334
Count,"How many lakes are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1",D,A,Aquiliness,False,5.263157894736842
Count,"How many persons are in the image? Select from the following choices.
(A) 4
(B) 0
(C) 3
(D) 2
(E) 5
(F) 1",C,C,150 cm (unknown).,True,6.493506493506493
Count,"How many paths are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 1
(D) 3",C,,,False,6.41025641025641
Count,"How many animals are in the image? Select from the following choices.
(A) 6
(B) 0
(C) 3
(D) 5
(E) 2
(F) 4",D,82,82,False,6.329113924050633
Count,"How many persons are in the image? Select from the following choices.
(A) 6
(B) 4
(C) 3
(D) 0
(E) 2
(F) 5",B,,,False,6.25
Count,"How many fields are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1",D,SORRY,Sorry,False,6.172839506172839
Count,"How many steps are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0",B,S,s,False,6.097560975609756
Count,"How many chest of drawerss are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2
(E) 4
(F) 5",B,,,False,6.024096385542169
Count,"How many ashtrays are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 0
(D) 3",B,IN,in,False,5.952380952380952
Count,"How many shelvess are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1",D,C,"Inchilad 2, the 2,",False,5.88235294117647
Count,"How many doors are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2",B,,,False,5.813953488372093
Count,"How many windows are in the image? Select from the following choices.
(A) 0
(B) 3
(C) 1
(D) 2",C,3,3,False,5.747126436781609
Count,"How many hangers are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 3
(D) 0
(E) 4",A,A,and 1 that a picture,True,6.8181818181818175
Count,"How many microphones are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 3
(D) 4
(E) 2",(E),,,False,6.741573033707865
Count,"How many curtains are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0",A,,,False,6.666666666666667
Count,"How many columns are in the image? Select from the following choices.
(A) 4
(B) 5
(C) 0
(D) 2
(E) 1
(F) 3",A,3,3,False,6.593406593406594
Count,"How many pendant lamps are in the image? Select from the following choices.
(A) 3
(B) 5
(C) 4
(D) 0
(E) 2
(F) 6",B,,,False,6.521739130434782
Count,"How many tunnels are in the image? Select from the following choices.
(A) 4
(B) 1
(C) 3
(D) 0
(E) 2",C,,,False,6.451612903225806
Count,"How many mats are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 0
(D) 5
(E) 4
(F) 6",(E),,,False,6.382978723404255
Count,"How many chairs are in the image? Select from the following choices.
(A) 4
(B) 2
(C) 0
(D) 6
(E) 3
(F) 5",(F),ILIEN (OR 3) 4 (OR,ilien (or 3) 4 (or,False,6.315789473684211
Count,"How many fences are in the image? Select from the following choices.
(A) 4
(B) 2
(C) 0
(D) 5
(E) 6
(F) 3",A,B,to be 2,False,6.25
Count,"How many flowerpots are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 0
(D) 3",B,,,False,6.185567010309279
Count,"How many walls are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 0
(D) 3",A,A,to make,True,7.142857142857142
Count,"How many persons are in the image? Select from the following choices.
(A) 4
(B) 2
(C) 0
(D) 3
(E) 1",B,C,(c),False,7.07070707070707
Count,"How many pictures are in the image? Select from the following choices.
(A) 6
(B) 2
(C) 5
(D) 4
(E) 3
(F) 0",D,IN 2 IS FOR SOME,in 2 is for some,False,7.000000000000001
Count,"How many seats are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 1
(D) 2",D,,,False,6.9306930693069315
Count,"How many vans are in the image? Select from the following choices.
(A) 0
(B) 5
(C) 2
(D) 6
(E) 3
(F) 4",(F),,,False,6.862745098039216
Count,"How many trees are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 1
(D) 3",C,,,False,6.796116504854369
Count,"How many fences are in the image? Select from the following choices.
(A) 4
(B) 1
(C) 0
(D) 2
(E) 3",D,,,False,6.730769230769231
Count,"How many street lights are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 4
(D) 2
(E) 5
(F) 0",A,,,False,6.666666666666667
Count,"How many fluorescent tubes are in the image? Select from the following choices.
(A) 6
(B) 0
(C) 5
(D) 3
(E) 2
(F) 4",(F),,,False,6.60377358490566
Count,"How many grandstands are in the image? Select from the following choices.
(A) 0
(B) 3
(C) 1
(D) 2",C,80 2 FOR 654,80 2 for 654,False,6.5420560747663545
Count,"How many walls are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3
(E) 4",B,,,False,6.481481481481481
Count,"How many nets are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0",B,,,False,6.422018348623854
Count,"How many fluorescent tubes are in the image? Select from the following choices.
(A) 1
(B) 4
(C) 3
(D) 0
(E) 2",(E),A,(A),False,6.363636363636363
Count,"How many walls are in the image? Select from the following choices.
(A) 1
(B) 4
(C) 0
(D) 3
(E) 2",(E),A,To make 1.,False,6.306306306306306
Count,"How many bags are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 0
(D) 3",B,,,False,6.25
Count,"How many seats are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3
(E) 4",C,4 (O),4 (o),False,6.1946902654867255
